uri	label	definition	parent_label
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61556	Defense	Protection from harm.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37940	Deficit	A lack or deficiency.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93216	Delinquency	An act by a minor that is punishable by law.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93550	Derivation Expression	A character string containing a formal language expression that specifies how attributes are, should be, or have been derived from input parameters associated with activity.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25480	Details	Particulars considered individually and in relation to a whole.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136827	Determine	The establishment of a state or result.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62189	Difficulty	Something not easily done, accomplished, comprehended, or solved.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C180582	Discretion	The freedom or authority to act according to one's own judgment.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92450	Discrimination	The unfair treatment of a person or group based on class or category bias.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41205	Disposition	The tendency of something to act in a certain manner under given circumstances resulting from natural constitution; nature; quality; orderly arrangement.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C203918	Dissent	To hold or express an opinion that is counter to commonly or officially held opinions.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75521	Disturbance	A departure or divergence from that which is considered normal.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62289	Domain	An area of knowledge considered as a discrete unit for some purpose.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92192	E-Z Notation	A system for naming the stereoisomers of a molecule. The configuration at each double bond is determined by the priority of the side groups and whether the highest priority groups are on the same or opposite side. A Z indicates that the highest-priority side groups are on the same side and an E indicates that the highest-priority side groups are on opposite sides. Priority is given to the bonded atom with the higher atomic number.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C133237	Encase	To completely and closely surround.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94347	Energy Balance		Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51070	Entity	An independently existing thing (living or nonliving).	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16551	Environment	The totality of surrounding conditions.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41195	Equation	A statement written in symbols that two objects, e.g. mathematical expressions, or arrays of symbols representing a chemical reaction, are equal under certain conditions. Equations are usually and sometimes tacitly accompanied by the requirement to establish these conditions. In the case where mathematical or chemical objects contain arbitrary variables, such a requirement may mean finding those values of the variables that turn the equation into equality. Equations are sometimes called more explicitly as conditional equations.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43369	Error	A discrepancy between a computed, observed, or measured value or condition and the true, specified, or theoretically correct value or condition.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25499	Event	Something that happens at a given place and time.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43583	Evidence	Knowledge on which to base belief.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48175	Example	A representative form or pattern; an item of information that is representative of a type.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54420	Exception	An instance that does not conform to a rule or generalization.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73530	Exemption	Immunity from an obligation or duty.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25359	Expectancy	Something expected, especially the value (e.g. an amount, or length of time) or probability of occurrence for a specific event based on statistical calculations.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54627	Experience	The accumulation of knowledge or skill that results from direct participation in events or activities.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80488	Expression	A combination of symbols that represents a value.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25332	Extent	The range, magnitude, or distance over which a thing spans an interval of distance, space, or time.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62574	Facility	Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25506	Factor	Anything that contributes causally to a result.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88186	Financial Account	A formal relationship established to provide for regular banking and business services.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25514	Fraction	A part, a fragment of a whole.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48295	Fragment	A part of a larger entity.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48360	Frame of Reference	A set of ideas, as of philosophical or religious doctrine, in terms of which other ideas are interpreted or assigned meaning; a system that uses coordinates to establish position.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43434	Functional Map	A function such that for every element of one set there is a unique element of another set.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17769	Funding	A sum of money or other resources set aside for a specific purpose.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16632	Geographic Area	Any demarcated area of the Earth; may be determined by both natural and human boundaries.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37958	Germ	Something that may serve as the basis of further growth or development; an informal term for a bacterium.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78315	Government	The political organization by which a nation, stateor region is ruled.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75923	Graph Edge	A connection between nodes in a graph.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75907	Graph Node	One of the points that define a graph.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43359	Group	Any number of entities (members) considered as a unit.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54106	Handle	A number or token that lets a program access a resource. Programs often receive a handle in response to a request for a resource, and then they use the handle when they need to access the resource. When the program uses the handle, the value of the handle tells the system which resource, from the pool of resources maintained by the system, to use.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101282	Have	Used to describe the possession, relationships, or the state of something or someone.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73538	Hazard	A source of danger or risk.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94432	Heritage		Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54625	History	The aggregate of past events; the continuum of events occurring in succession leading from the past to the present; a record or narrative description of past events.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96264	Hypogranularity	A term that refers to the presence of diminished numbers of cytoplasmic granules in myeloid cells.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28362	Hypothesis		Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142576	ICH Type Of Comparison	Within the context of ICH, this data element describes how treatment arms will be compared within the clinical trial, to include trials that show superiority, non-equivalence, or non-inferiority, or dose-response relationships.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53277	Incentive	A benefit, consideration, or positive motivational influence, financial or otherwise, given to induce a specific action.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47882	Increment	The amount by which something increases.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41184	Indication	A sign, signal, circumstance, or symptom which serves to indicate or point out the cause, pathology, treatment, or issue of an attack of disease; the basis for initiation of a treatment for a disease or of a diagnostic test (causal, or symptomatic, or disease-specific indication).	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25180	Indicator	An event, entity or condition that typically characterizes a prescribed environment or situation and determines or aids in determining whether certain stated circumstances exist or criteria are satisfied.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48191	Information	Knowledge derived from study, experience, or instruction that has been gathered or received by communication.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20865	Information and Media		Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80260	Infrastructure	The basic facilities, equipment, or underlying framework that are necessary for a system or organization to function.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51981	Ingredient	That which enters into a compound, or is a component part of any combination or mixture; an element; a constituent.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25536	Initials	The first letter of a word, especially the first letter of each word in a proper name.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54190	Initiator	Something that sets into motion some course of events; a device that activates or releases or causes something to happen.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47905	Input	Anything added into a sytem.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C171543	Insecurity	Uncertainty or anxiety that things are not fixed or safe.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45518	Insert	Something inserted or to be inserted.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48364	Instance	An occurrence of something.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18928	Insurance and Payment Issues	The effect of insurance coverage on medical care and practices.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C97331	Intellectual Property	Creations of the mind, such as those created by musicians, authors, artists, and inventors.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25725	Intent	An anticipated outcome that is the purpose for actions taken, thus guiding the action.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25352	International Normalized Ratio	A system, commonly called the INR, established by the World Health Organization (WHO) and the International Committee on Thrombosis and Hemostasis for reporting the results of blood coagulation (clotting) tests. All results are standardized using the international sensitivity index (ISI) for the particular thromboplastin reagent and instrument combination utilized to perform the test; the ratio of a patient's clotting time to the lab's mean reference value is normalized against the ISI. (from medterms.com and medicine.ucsf.edu)	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142381	Interoperability	The capability of two or more systems or components to use and transfer information reciprocally.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80456	Intersection	The set of elements common to two or more sets.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120399	Intrusions	Inclusions of words that were not on the test list.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61036	Investigation Finding	The result of an examination or inquiry.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45261	Item Collection	A group of items of the same type, gathered for display or study.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92457	Job Decision Latitude	The extent to which one can make decisions and exercise control over their work.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79890	Jurisdiction	The territory within which power can be exercised.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52564	K Prime	A dimensionless value that refers to the molar concentrations of chemical reactants and products under standard conditions.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70772	Knowledge Field	A branch of knowledge.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45311	Lane	A defined path with physical dimensions through which an object or substance may traverse.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16779	Language	A systematic means of communicating by the use of sounds, symbols, or gestures.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43430	Layout	A plan or design of something that is laid out.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142142	Life	The biochemical phenomenon that distinguishes organisms from inorganic matter. It is characterized by growth, metabolism, and reproduction.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94920	Line of Response	A line defined by a detector and its collimator in SPECT or by 2 coincident detectors in PET.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60792	Lineage	Descent in a line from a common progenitor or source.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49162	Literacy	The ability to read and write.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42764	Living Culture		Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25559	Loss	A gradual decline in amount or activity.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41396	Lot	A defined quantity of manufactured material or product produced in a single manufacturing process or series of process steps so that it reasonably is expected to be homogeneous.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48187	Material	The tangible substance that goes into the makeup of a physical object.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80248	Meal	Any of the occasions for eating food that occur by custom or habit at more or less fixed times.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88149	Meaning	The idea or message that is intended, expressed, or signified.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47955	Means	A way of doing something; how a result is obtained or an end is achieved.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61426	Mediator	An agent that acts as a link between parties, objects, or actions.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94405	Meridian	A concept in Chinese medicine that holds that the pathways through which qi ("life force") flows are located throughout the body bilaterally, and exist beneath the surface of the skin.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86572	Methodology	The system of methods followed in a particular discipline.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70743	Milestone	An important event in the progress, development, or history of something or in someone's life.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19896	Miscellaneous Molecular Biology Terms		Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67078	Mismatch	A failure to correspond or match; to match unsuitably or inaccurately.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25571	Mode	A particular functioning condition or arrangement.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43383	Model	A style or design of an item.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16866	Model	A representation of something, often idealized or modified to make it conceptually easier to understand.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42721	Module	A self-contained component (unit or item) that is used in combination with other components.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37994	Movement	A change in location or position.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614	Name	The words or language units by which a thing is known.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C156472	Name and Version	An identifier that includes the words or language units by which a thing is known and the form or variant of the original.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41204	Need	Anything that is necessary but lacking; the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25594	Negation	An operation in which a term denies or inverts the meaning of another term or construction.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C203922	Negligible	Of such a small amount as to be considered insignificant.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45783	Noise	Any part of a signal that is not the true or original signal but is introduced by the communication mechanism.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45281	Object	Something perceptible by one or more of the senses, especially by vision or touch; a material thing.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49155	Objective	A goal or aim to be accomplished or attained.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92650	Observer	A person, organization, or device that makes an observation.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19160	Occupation or Discipline	A grouping of occupations and fields of study.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C171545	Occupational Prestige	The differential social worth which is ascribed to jobs or occupations.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86573	Odor	The sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61378	Opening	An aperture or hole leading into something, especially a bodily cavity.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84752	Operator	A symbol used to perform an arithmetic or logical operation.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25374	Options	Alternative choices or actions.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42703	Origin	The place where something begins or comes from in either the sense of a physical location or a metaphysical source.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20200	Outcome	The result of an action.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79083	Outlier	An observation in a data set that is numerically distant from the rest of the data.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47906	Output	Anything coming out of a system.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54669	Overlap	The phenomenon of coinciding partially or wholly; extending over and covering a part of.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52643	Ownership	The legal relation in which a person or group entity has a financial interest in, dominion of, or control over an object or property.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28290	Panacea		Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45313	Part	One of the portions into which something is regarded as divided and which together constitute a whole.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C203923	Participate	To take part in an activity.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41107	Party	An informal term specifying an organization or person.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60697	Passage	A path through which water or other materials may flow or travel.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42710	Password	A secret set of characters, numbers, or symbols used as a form of authentication.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52644	Patient Base	The total number of patients that have been evaluated or treated.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52646	Patient Load	The number of patients who are evaluated or treated in any given period of time.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142628	Patient Reported Outcome Stem	The prompt, question or instruction in a patient-reported outcome item. (CDISC Glossary)	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142630	Patient-Reported Outcome Item Generation	The process for identifying the individual questions, statements, or tasks within a patient reported outcome (PRO) instrument.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142629	Patient-reported Outcome Item	A question, statement, or task and its pre-specified response values within a patient-reported outcome instrument.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25336	Pattern	An arrangement of objects, facts, behaviors, or other things which have scientific, mathematical, geometric, statistical, or other meaning.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C180612	Pay	Money or other benefits received in exchange for work.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48054	Peak	The most extreme possible amount or value; the highest point.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25361	Performance	A manner of functioning or operating.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120398	Perseverations	Repeats of words that have been previously mentioned on the same trial.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25190	Person	A human being.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25257	Phase	A distinguishable part, a stage in a series of events or in a process of development, e.g. any of the varying aspects or stages in course of a disease; a fraction of a cycle.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C61380	Phenomenon	A fact or situation that is observed to exist.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80242	Phoneme	A speech sound that is distinguished by the speakers of a particular language.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54273	Picture	A visual representation of an object, scene, person or abstraction.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48367	Pixel	The smallest resolvable rectangular area of an image, either on a screen or stored in memory.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25319	Place	The particular portion of space occupied by a physical object or intended for a physical object.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C63534	Plane	An imaginary surface formed by extension of a point through any axis or two definite points; any flat two-dimensional surface.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48223	Plug	An object designed to fill a hole tightly; anything that resembles such an object in appearance or origin.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70656	Point	The precise location of something; a spatially limited location.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48909	Pointer	An address or abstract location where a specified object can be found.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62230	Potential	The likelihood or possibility that a specific state or condition will exist or that an action will occur.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60827	Precaution	A measure taken beforehand to prevent harm or secure good.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48044	Precursor	A substance from which another substance is formed.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54156	Prediction	An extrapolation of given data into the future.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41187	Preference	The act, fact, or principle of giving advantages to some particular person, object, or course of action over others; designated as more desirable.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87136	Prepuberty	The period of development immediately prior to the onset of puberty when changes occur that lead to sexual maturity.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28020	Problem	A difficulty, disorder, or condition needing resolution.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29862	Process	A sequence of events which produces some outcome.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C52647	Program	A broad framework of goals to be achieved.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25630	Progress	The act of moving forward toward a goal.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47885	Project	Any specifically defined piece of work that is undertaken or attempted to meet a single requirement.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25176	Projection	A prediction made by extrapolating from past observations.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73618	Property	Any tangible or intangible possession that is owned by a person, group, or organization.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43581	Provenance	Where something originated or was nurtured in its early existence.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37900	Provider	One that makes something available.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C92459	Psychological Demand	The mental arousal or stimulation necessary to accomplish a task.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82393	Puberty	The stage in life when sex glands become functional. It is characterized by the development of secondary sex characteristics, reproductive functions, and growth spurts.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25634	Purpose	What something is used for; reason or intention.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25635	Qualifying	Success in satisfying a test or requirement.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71610	Quotient	A quantity obtained by division.	Conceptual Entity
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C93642	Randomization Weight	The relative proportion of subjects to be randomized.	Conceptual Entity
